Five-Year Age Groups,Gender,Deaths,Year
75-79 years,Male,3723,2012
75-79 years,Male,3859,2013
75-79 years,Male,4016,2014
75-79 years,Male,4206,2015
75-79 years,Male,4368,2016
75-79 years,Male,4465,2017
75-79 years,Male,4944,2018
75-79 years,Male,4786,2019
75-79 years,Male,5182,2020
80-84 years,Female,5294,1999
80-84 years,Female,5571,2000
80-84 years,Female,5718,2001
80-84 years,Female,6035,2002
80-84 years,Female,6076,2003
80-84 years,Female,6127,2004
80-84 years,Female,6375,2005
80-84 years,Female,6463,2006
80-84 years,Female,6290,2007
80-84 years,Female,5853,2008
80-84 years,Female,5891,2009
80-84 years,Female,5852,2010
80-84 years,Female,5332,2011
80-84 years,Female,5336,2012
80-84 years,Female,5253,2013
80-84 years,Female,5359,2014
80-84 years,Female,5442,2015
80-84 years,Female,5381,2016
80-84 years,Female,5510,2017
80-84 years,Female,5408,2018
80-84 years,Female,5638,2019
80-84 years,Female,5759,2020
80-84 years,Male,4358,1999
80-84 years,Male,4461,2000
80-84 years,Male,4683,2001
80-84 years,Male,4960,2002
80-84 years,Male,5218,2003
80-84 years,Male,5220,2004
80-84 years,Male,5351,2005
80-84 years,Male,5282,2006
80-84 years,Male,5461,2007
80-84 years,Male,5330,2008
80-84 years,Male,5226,2009
80-84 years,Male,5494,2010
80-84 years,Male,5010,2011
80-84 years,Male,5034,2012
80-84 years,Male,4963,2013
80-84 years,Male,4952,2014
80-84 years,Male,5228,2015
80-84 years,Male,5215,2016
80-84 years,Male,5321,2017
80-84 years,Male,5316,2018
80-84 years,Male,5511,2019
80-84 years,Male,5642,2020
< 1 year,Female,28,2021
1-4 years,Female,4,2021
5-9 years,Female,2,2021
10-14 years,Female,9,2021
15-19 years,Female,10,2021
20-24 years,Female,33,2021
25-29 years,Female,77,2021
30-34 years,Female,145,2021
35-39 years,Female,224,2021
40-44 years,Female,377,2021
45-49 years,Female,528,2021
50-54 years,Female,921,2021
55-59 years,Female,1506,2021
60-64 years ,Female,2310,2021
65-69 years,Female,3414,2021
70-74 years,Female,4769,2021
75-79 years,Female,5402,2021
80-84 years,Female,5883,2021
< 1 year,Female,23,2022
1-4 years,Female,5,2022
5-9 years,Female,8,2022
10-14 years,Female,3,2022
15-19 years,Female,19,2022
20-24 years,Female,29,2022
25-29 years,Female,62,2022
30-34 years,Female,130,2022
35-39 years,Female,225,2022
40-44 years,Female,358,2022
45-49 years,Female,560,2022
50-54 years,Female,928,2022
55-59 years,Female,1497,2022
60-64 years ,Female,2378,2022
65-69 years,Female,3403,2022
70-74 years,Female,4826,2022
75-79 years,Female,5739,2022
80-84 years,Female,6169,2022
< 1 year,Male,47,2021
1-4 years,Male,7,2021
5-9 years,Male,6,2021
10-14 years,Male,1,2021
15-19 years,Male,12,2021
20-24 years,Male,33,2021
25-29 years,Male,93,2021
30-34 years,Male,181,2021
35-39 years,Male,274,2021
40-44 years,Male,422,2021
45-49 years,Male,709,2021
50-54 years,Male,1170,2021
55-59 years,Male,1936,2021
60-64 years ,Male,3001,2021
65-69 years,Male,3972,2021
70-74 years,Male,4966,2021
75-79 years,Male,5519,2021
80-84 years,Male,5847,2021
< 1 year,Male,31,2022
1-4 years,Male,1,2022
5-9 years,Male,7,2022
10-14 years,Male,5,2022
15-19 years,Male,6,2022
20-24 years,Male,40,2022
25-29 years,Male,97,2022
30-34 years,Male,178,2022
35-39 years,Male,277,2022
40-44 years,Male,444,2022
45-49 years,Male,678,2022
50-54 years,Male,1195,2022
55-59 years,Male,1817,2022
60-64 years ,Male,2908,2022
65-69 years,Male,4053,2022
70-74 years,Male,5092,2022
75-79 years,Male,5845,2022
80-84 years,Male,5954,2022
