Year,Excess YPLL Rate,Excess YPLL Number,shortname
2015,1715.5896615139986,2642348.880617818,Circulatory
2016,1744.140513986756,2700341.16769561,Circulatory
2017,1745.5302898135878,2725004.937927556,Circulatory
2018,1794.6731555603385,2814666.3291693795,Circulatory
2019,1764.3908488362513,2776193.467071603,Circulatory
2020,1900.7896726700587,3001981.1486439994,Circulatory
2021,1682.8026981457128,2699001.761398978,Circulatory
2022,1727.7552053983131,2783704.918146761,Circulatory
2000,338.91172705278245,457115.82733324566,Respiratory
2001,291.9594976391413,398760.25260214834,Respiratory
2002,292.78452094880754,403810.38758811186,Respiratory
2003,274.0925946314069,381146.1974016049,Respiratory
2004,270.7807126222672,380167.1062317399,Respiratory
2005,256.49556906400744,363468.387613978,Respiratory
2006,240.28399526803605,343757.62670934777,Respiratory
2007,250.6789528364536,361857.0788646226,Respiratory
2008,226.63928248184948,330252.62277438864,Respiratory
2009,187.5456882397009,275744.09123797703,Respiratory
2010,217.62157229652507,322030.68141326215,Respiratory
2011,201.6326531976315,301144.5859016873,Respiratory
2012,185.1736942624616,278707.3270855086,Respiratory
2013,183.03402571492097,277466.9408236641,Respiratory
2014,178.9533043348581,273458.1166556993,Respiratory
2015,165.1343662270649,254339.72793153097,Respiratory
2016,164.8233096661911,255185.3849608113,Respiratory
2017,137.69756334597332,214964.2101589894,Respiratory
2018,170.36232475805446,267186.86785382923,Respiratory
2019,144.40009589101214,227207.36911640252,Respiratory
2020,199.7606964434226,315488.79583335354,Respiratory
2021,134.0276605853196,214963.34204512855,Respiratory
2022,114.61806312492172,184669.0231535111,Respiratory
2000,200.9175136199915,270992.6158732106,Digestive
2001,189.26787255077303,258503.3378879856,Digestive
2002,192.46947137779387,265455.1940931851,Digestive
2003,198.9269107152984,276622.70730789274,Digestive
2004,186.3414004129811,261617.12287460573,Digestive
2005,192.4470451479774,272708.0918249875,Digestive
2006,185.60858150569356,265537.30890029605,Digestive
2007,200.0602995148463,288788.6468332828,Digestive
2008,201.82060737452525,294087.52174590447,Digestive
2009,195.5245629407459,287475.2463191292,Digestive
2010,207.7771570039688,307463.1744730154,Digestive
2011,200.7395586294904,299810.72162113205,Digestive
2012,209.3565116135433,315105.1988899345,Digestive
2013,214.0396159628524,324469.2740834097,Digestive
2014,203.78509451730704,311403.515885521,Digestive
2015,201.0954723286835,309726.97500175075,Digestive
2016,201.01452189642896,311217.92334313004,Digestive
2017,196.8344253825934,307284.7170008042,Digestive
2018,204.88505178332332,321330.4076109564,Digestive
2019,198.53419266570825,312385.05291070393,Digestive
2020,227.37344610608395,359098.54137300333,Digestive
2021,206.91469637504156,331864.8886116862,Digestive
2022,202.98566097284368,327044.1211798346,Digestive
2000,-6.4035569366856535,-7963.096546685377,"Skin and Subcutaneous
Tissue"
2001,-6.31709401288089,-8627.929643177307,"Skin and Subcutaneous
Tissue"
2002,-8.045324602223893,-11096.16599732826,"Skin and Subcutaneous
Tissue"
2003,-4.667515978428053,-5478.561384750749,"Skin and Subcutaneous
Tissue"
2004,-8.576125246231502,-11187.183608679572,"Skin and Subcutaneous
Tissue"
2005,-0.9513798672306352,-1139.657001089509,"Skin and Subcutaneous
Tissue"
2006,-5.449357860594414,-7796.017887742589,"Skin and Subcutaneous
Tissue"
2007,-3.9315259257340927,-5675.189204635088,"Skin and Subcutaneous
Tissue"
